Embalse,Capacidad,Emblasada,Variación,Fecha datos
 AGUASCEBAS,6,3,0,2019-11-10
 ALMODOVAR,6,2,0,2019-11-10
 ANCHURICAS,6,6,0,2019-11-10
 ANDEVALO,634,331,-5,2019-11-10
 ARACENA,129,54,-1,2019-11-10
 ARCOS,14,13,0,2019-11-10
 ARENOSO,167,37,-1,2019-11-10
 BARBATE,228,89,-1,2019-11-10
 BEMBEZAR,342,143,-1,2019-11-10
 BENINAR,63,8,0,2019-11-10
 BEZNAR,53,37,-1,2019-11-10
 BORNOS,200,51,0,2019-11-10
 CALA,59,13,0,2019-11-10
 CANALES,70,45,0,2019-11-10
 CASASOLA,22,10,0,2019-11-10
 CELEMIN,45,17,0,2019-11-10
 CHANZA,341,136,-1,2019-11-10
 CHARCO REDONDO,82,39,0,2019-11-10
 COLOMERA,40,15,0,2019-11-10
 CONDE GUADALHORCE,66,42,0,2019-11-10
 CORUMBEL BAJO,19,4,-1,2019-11-10
 CUBILLAS,19,6,1,2019-11-10
 CUEVAS DE ALMANZORA,161,22,-1,2019-11-10
 EL AGRIO,20,7,0,2019-11-10
 EL LIMONERO,22,11,0,2019-11-10
 EL PINTADO,213,114,-2,2019-11-10
 EL PORTILLO,33,26,0,2019-11-10
 EL SANCHO,58,48,0,2019-11-10
 FRANCISCO ABELLAN,58,25,0,2019-11-10
 GERGAL,35,21,0,2019-11-10
 GIRIBAILE,475,120,3,2019-11-10
 GUADALCACIN,800,390,2,2019-11-10
 GUADALEN,168,40,0,2019-11-10
 GUADALHORCE-GUADALTEBA,279,205,-1,2019-11-10
 GUADALMELLATO,147,71,0,2019-11-10
 GUADALMENA,347,111,-1,2019-11-10
 GUADARRANQUE,88,42,-1,2019-11-10
 HUESNA,135,71,-1,2019-11-10
 IZNAJAR,981,309,3,2019-11-10
 JANDULA,322,84,0,2019-11-10
 JARRAMA,43,24,0,2019-11-10
 JOSE TORAN,113,28,0,2019-11-10
 LA BOLERA,53,12,-1,2019-11-10
